,id,current_version,folder_id,title,content_length,create_by,create_on
3229,8933712,0,3150654.0,23-05-08_JSC-44_CMIP-presentation_v2.pptx,50015273,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-04-29T14:51:05
3706,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,42382,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3705,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,42246,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3704,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,41215,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3703,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,41232,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3702,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,41226,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3701,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,40790,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3700,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,40644,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3699,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,40504,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3698,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,39873,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3697,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,39032,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3696,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,39012,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3695,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,39100,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3694,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,38493,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3693,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,34258,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3692,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,34001,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3691,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,33906,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3690,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,33577,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3707,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,42401,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3708,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,43719,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3709,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,44053,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3710,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,44666,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3728,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,1254853,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
3727,9077156,0,3164797.0,Restrospective Paper Manuscript.docx,1254793,10693b51-41cb-4854-9598-f7355f9b6790,2023-06-07T11:23:50
